"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
952,676710,"Crawford, Kutter",952,100,0.255,0.245,0.291,0.5,0.347,0.34,0.243,56,220,92.7,25.3,2504,92.6,92.01,97,489,463,-0.5999999999999943,6.1,114,150,118,149,288,322,300,"-3.9","3.9","70.102860809","6.795625489"
943,669373,"Skubal, Tarik",943,100,0.197,0.089,0.289,0.286,0.248,0.265,0.203,42,213,87.4,18.6,2226,96.8,96.96,138,499,444,0.20000000000000284,6.37,109,151,116,146,302,330,290,"18.8","-18.8","68.528188744","6.587362159"
942,683003,"Jones, Jared",942,100,0.224,0.201,0.26,0.425,0.318,0.343,0.244,48,214,91.1,17.9,2536,97.3,98.27,128,498,444,1,6.86,111,148,110,149,307,323,295,"5.9","-5.9","70.255274788","6.810397506"
941,572020,"Paxton, James",941,100,0.264,0.167,0.272,0.431,0.35,0.372,0.272,57,216,91.1,17,2089,93.2,93.74,68,472,469,0.5,6.54,110,152,121,148,301,318,291,"-0.8","0.8","69.957315377","6.648929811"
937,669302,"Gilbert, Logan",937,100,0.204,0.178,0.208,0.383,0.274,0.334,0.261,47,230,92.6,17.9,2034,96.6,99.05,87,450,487,2.4000000000000057,7.63,113,150,114,148,291,319,291,"6.4","-6.4","70.380245059","6.862387387"
932,694297,"Pfaadt, Brandon",932,100,0.265,0.201,0.292,0.466,0.346,0.371,0.28,54,204,90.4,21,2557,93.8,94.79,104,464,468,1,6.72,114,149,115,150,299,320,296,"2.4","-2.4","69.8591123","6.784026596"
927,608331,"Fried, Max",927,100,0.266,0.093,0.299,0.36,0.327,0.34,0.276,57,214,84.1,4.3,2221,93.9,94.64,83,456,471,0.6999999999999886,6.56,108,151,119,147,301,322,293,"2.7","-2.7","69.366439028","6.651284716"
924,680573,"Woods Richardson, Simeon",924,100,0.258,0.098,0.326,0.356,0.317,0.322,0.233,50,194,90.5,18.9,2186,93.1,93.78,103,475,449,0.7000000000000028,6.71,111,148,118,149,297,323,293,"9.5","-9.5","69.322567838","6.660701048"
905,607192,"Glasnow, Tyler",905,100,0.215,0.206,0.248,0.421,0.313,0.298,0.208,46,214,90.3,15,2559,96.3,98.64,96,451,454,2.299999999999997,7.49,117,150,121,151,295,315,295,"6.9","-6.9","70.021712987","6.787571766"
896,656629,"Kopech, Michael",896,100,0.183,0.143,0.253,0.326,0.285,0.288,0.186,32,175,88.4,18.6,2620,98.7,99.55,144,424,472,0.7999999999999972,6.89,113,148,118,150,296,321,297,"6.2","-6.2","68.506312068","6.626290419"
887,605400,"Nola, Aaron",887,100,0.168,0.15,0.192,0.318,0.27,0.29,0.195,29,173,89.8,26.8,2307,92.5,93.57,86,389,498,1.0999999999999943,6.98,112,148,116,150,295,326,295,"8.7","-8.7","69.981992207","6.898165559"
874,680570,"Rodriguez, Grayson",874,100,0.291,0.122,0.373,0.413,0.349,0.325,0.248,55,189,90.5,14.9,2285,96.1,97.62,118,439,435,1.5,7.28,112,149,119,150,301,327,299,"-0.8","0.8","69.821154307","6.614139975"
873,593423,"Montas, Frankie",873,100,0.206,0.161,0.259,0.367,0.294,0.325,0.228,45,218,90.4,21.5,2386,95.6,95.28,111,481,392,-0.29999999999999716,5.99,115,148,122,149,297,321,294,"-5.3","5.3","70.348718214","6.855205335"
865,656605,"Keller, Mitch",865,100,0.257,0.143,0.344,0.4,0.321,0.332,0.25,45,175,89.8,17.4,2406,94.4,94.87,103,429,436,0.5,6.5,112,147,110,148,303,323,296,"8.6","-8.6","67.9996578","6.5102939"
863,668964,"Myers, Tobias",863,100,0.239,0.197,0.274,0.436,0.322,0.34,0.247,56,234,90.9,20,2223,92.9,93.62,87,453,410,0.6999999999999886,6.7,111,149,121,148,303,322,297,"5.7","-5.7","69.521780853","6.764456152"
860,687792,"Herz, DJ",860,100,0.222,0.096,0.33,0.317,0.288,0.283,0.197,37,167,90.6,20.2,2325,93.5,94.25,130,426,434,0.7000000000000028,6.72,110,149,119,147,305,326,300,"8.9","-8.9","69.608980745","6.741600168"
849,680767,"Vodnik, Victor",849,100,0.291,0.16,0.338,0.451,0.369,0.384,0.293,51,175,92,7.6,2279,97.9,99.15,69,385,464,1.1999999999999886,6.76,113,149,121,148,304,331,303,"-4.4","4.4","67.388616166","6.574323834"
840,693433,"Woo, Bryan",840,100,0.218,0.137,0.261,0.355,0.262,0.276,0.224,43,197,90.5,26.8,2280,94.8,95.33,135,494,346,0.5,6.59,113,149,115,148,290,318,290,"9.4","-9.4","69.026265826","6.597873492"
834,694973,"Skenes, Paul",834,100,0.23,0.12,0.361,0.351,0.286,0.273,0.205,44,191,91,13.5,2244,98.8,99,102,422,412,0.20000000000000284,6.43,113,148,112,149,305,325,296,"5.9","-5.9","68.42467101","6.678556563"
822,605483,"Snell, Blake",822,100,0.2,0.103,0.26,0.303,0.276,0.292,0.198,29,145,88.3,21.4,2434,95.9,96.7,86,357,465,0.7999999999999972,6.84,109,150,122,147,301,321,293,"4.7","-4.7","68.029321523","6.544769397"
806,671922,"Smith, Cade",806,100,0.174,0.079,0.294,0.253,0.212,0.246,0.193,33,190,91.5,14.3,2280,96,97.8,130,427,379,1.7999999999999972,7.36,113,150,125,149,298,319,299,"28.4","-28.4","67.744079479","6.460045732"
806,450203,"Morton, Charlie",806,100,0.281,0.236,0.344,0.517,0.379,0.373,0.277,50,178,92.1,17.4,2249,94.1,93.9,72,374,432,-0.19999999999998863,6.17,115,149,121,149,299,322,297,"-11.1","11.1","69.723967659","6.769570809"
806,671106,"Allen, Logan",806,100,0.342,0.266,0.361,0.609,0.428,0.407,0.316,63,184,90.7,11.4,2119,91.2,91.36,53,361,445,0.20000000000000284,6.37,106,151,120,147,301,320,297,"-10.9","10.9","69.542713761","6.697953333"
801,666157,"Lodolo, Nick",801,100,0.241,0.167,0.289,0.407,0.33,0.323,0.236,39,162,88.7,17.5,2347,94.1,93.65,80,348,453,-0.3999999999999915,6.21,109,149,119,147,298,320,286,"-3.4","3.4","70.078041598","6.78472932"
800,670102,"Francis, Bowden",800,100,0.174,0.197,0.168,0.371,0.263,0.307,0.22,37,213,90.9,26.6,2362,92.9,93.65,88,476,324,0.6999999999999886,6.81,112,148,119,149,288,320,295,"12.9","-12.9","70.842746009","6.894743296"
799,679525,"Marsh, Alec",799,100,0.208,0.175,0.265,0.383,0.303,0.316,0.216,32,154,88.3,24.9,2498,94.2,94.1,81,364,435,-0.10000000000000853,6.19,113,148,117,150,297,324,298,"2.8","-2.8","69.406637464","6.702474023"
769,434378,"Verlander, Justin",769,100,0.299,0.198,0.324,0.497,0.37,0.326,0.244,56,187,90.6,24.9,2395,93.5,92.51,82,405,364,-1,5.94,109,149,113,149,294,320,294,"-10.4","10.4","69.752185707","6.933874116"
754,594902,"Lively, Ben",754,100,0.27,0.238,0.257,0.508,0.395,0.402,0.274,34,126,93.9,15,2005,89.9,91,49,294,460,1.0999999999999943,6.9,112,149,119,151,298,319,301,"-1.8","1.8","69.327028462","6.627047762"
753,571945,"Mikolas, Miles",753,100,0.287,0.159,0.313,0.446,0.332,0.336,0.271,45,157,90.8,20.5,2253,93.2,93.27,72,405,348,0.09999999999999432,6.32,114,148,112,149,302,321,301,"0.8","-0.8","70.074105741","6.796427857"
746,607625,"Lugo, Seth",746,100,0.234,0.158,0.286,0.392,0.304,0.331,0.253,40,171,88.9,16.5,2364,92.2,92.11,53,307,439,-0.10000000000000853,6.12,113,148,116,150,298,323,297,"4.7","-4.7","68.435878606","6.739897003"
735,592791,"Taillon, Jameson",735,100,0.287,0.21,0.297,0.497,0.353,0.376,0.298,48,167,92.7,17,2282,92.3,93.1,51,346,389,0.7999999999999972,6.69,114,149,115,153,298,326,298,"0.4","-0.4","70.121795435","6.838421862"
729,672282,"Detmers, Reid",729,100,0.278,0.23,0.326,0.508,0.385,0.361,0.243,35,126,91.5,22.3,2125,93.8,93.39,91,360,369,-0.3999999999999915,6.15,108,149,117,149,303,326,298,"-6.8","6.8","69.858183182","6.840125242"
721,640448,"Finnegan, Kyle",721,100,0.286,0.143,0.339,0.429,0.339,0.342,0.287,46,161,91.3,9.1,2085,97.2,97.91,78,391,330,0.7000000000000028,6.62,113,147,118,147,304,327,300,"-1.3","1.3","69.158938038","6.641934441"
720,592351,"Gray, Jon",720,100,0.311,0.131,0.365,0.443,0.356,0.375,0.31,57,183,92.3,10.8,2029,94.9,95.35,57,381,339,0.3999999999999915,6.6,113,149,117,150,299,326,299,"-7.2","7.2","69.998927233","6.743760259"
710,669432,"Rogers, Trevor",710,100,0.252,0.215,0.309,0.467,0.346,0.359,0.242,34,135,92.2,29.4,2432,91.9,92.22,81,346,364,0.29999999999999716,6.69,108,148,115,146,299,321,292,"-1.3","1.3","69.268467823","6.720009558"
708,677944,"Cecconi, Slade",708,100,0.329,0.253,0.365,0.582,0.405,0.356,0.275,56,170,90.3,20.5,2356,94.4,94.78,59,359,349,0.3999999999999915,6.62,112,149,117,149,301,317,292,"-11.1","11.1","69.430533381","6.752784499"
704,668909,"Williams, Gavin",704,100,0.286,0.136,0.339,0.421,0.348,0.357,0.278,40,140,90.7,15.9,2311,96.6,98.2,85,386,318,1.6000000000000085,7.22,110,149,122,149,299,324,301,"-0.6","0.6","68.293902997","6.500870663"
701,681911,"Vesia, Alex",701,100,0.149,0.206,0.163,0.355,0.286,0.314,0.171,21,141,88.9,35.3,2399,93.4,93.45,104,367,334,0.09999999999999432,6.39,112,151,123,150,295,313,292,"8.1","-8.1","70.169039083","6.897977041"
699,543037,"Cole, Gerrit",699,100,0.189,0.176,0.237,0.365,0.292,0.299,0.198,30,159,90.8,24.6,2361,95.9,95.7,80,342,357,-0.20000000000000284,6.29,114,149,120,152,295,327,292,"6.9","-6.9","68.762530804","6.645768512"
699,650633,"King, Michael",699,100,0.265,0.136,0.352,0.402,0.33,0.321,0.233,35,132,88.9,21.1,2287,93.7,93.32,88,337,362,-0.4000000000000057,6.09,114,149,119,151,296,323,298,"-2.2","2.2","67.040142949","6.52057141"
698,663158,"Suarez, Robert",698,100,0.223,0.12,0.279,0.343,0.271,0.266,0.21,39,175,88.9,20.1,2422,99.1,99.52,105,417,281,0.4000000000000057,6.68,117,149,119,151,296,322,298,"5.4","-5.4","68.957987136","6.773005503"
697,665152,"Kremer, Dean",697,100,0.245,0.259,0.27,0.503,0.366,0.373,0.243,35,143,90.9,24,2274,93.4,93.1,81,349,348,-0.30000000000001137,6.21,113,147,117,150,298,327,301,"0","0","69.209601852","6.717406049"
695,669211,"Akin, Keegan",695,100,0.215,0.177,0.282,0.392,0.29,0.275,0.193,34,158,88.3,25.1,2419,93.9,92.88,99,352,343,-1,5.85,112,148,121,148,301,325,296,"2.6","-2.6","68.473984207","6.65245497"
691,663554,"Mize, Casey",691,100,0.306,0.121,0.361,0.428,0.339,0.339,0.28,53,173,92.5,13.9,2259,95.5,96.84,74,366,325,1.2999999999999972,7.05,112,148,115,148,293,329,296,"-0.9","0.9","68.767237244","6.63775946"
689,656945,"Scott, Tanner",689,100,0.134,0.045,0.198,0.179,0.217,0.266,0.187,18,134,79.5,13.3,2566,97,97.02,107,371,318,0,6.38,110,148,116,146,296,320,293,"17.2","-17.2","69.339427399","6.694299162"
683,663687,"Harris, Hogan",683,100,0.261,0.148,0.294,0.408,0.355,0.417,0.306,37,142,90.4,16.3,2256,92.9,93.26,52,308,375,0.3999999999999915,6.74,111,149,119,149,300,321,295,"2.1","-2.1","68.71597592","6.633238696"
683,663474,"McKenzie, Triston",683,100,0.303,0.348,0.263,0.652,0.46,0.466,0.31,47,155,92.4,20.6,2229,91.1,92.02,30,292,391,0.9000000000000057,6.83,111,149,122,149,296,318,298,"-15.9","15.9","70.61890223","7.072912374"
666,596133,"Weaver, Luke",666,100,0.177,0.153,0.23,0.331,0.271,0.306,0.197,22,124,92.5,24.7,2462,95.7,94.84,94,313,353,-0.9000000000000057,5.98,112,150,119,151,291,324,288,"7.8","-7.8","69.667927055","6.778553562"
666,663432,"Rainey, Tanner",666,100,0.255,0.235,0.263,0.49,0.365,0.376,0.241,38,149,91.8,27.7,2399,94,93.86,69,351,315,-0.09999999999999432,6.3,114,148,120,147,300,322,296,"-3.9","3.9","70.725203889","7.143614321"
660,656222,"Beeks, Jalen",660,100,0.287,0.096,0.331,0.382,0.332,0.314,0.244,51,178,88.7,14.8,2177,94.5,95.48,55,341,319,1,6.68,110,148,118,147,304,328,299,"-3.4","3.4","69.056353376","6.654535756"
651,676684,"Vest, Will",651,100,0.183,0.031,0.253,0.214,0.207,0.295,0.243,24,131,91.9,14.4,2161,96.1,95.9,72,315,336,-0.19999999999998863,6.2,110,148,117,147,295,328,296,"11.5","-11.5","68.305171512","6.496458351"
646,695243,"Miller, Mason",646,100,0.178,0.141,0.253,0.319,0.254,0.251,0.185,24,135,87.7,20.1,2508,100.9,101.5,135,364,282,0.5999999999999943,6.78,113,148,117,150,298,323,299,"10.5","-10.5","69.45549488","6.736665898"
641,672456,"Montero, Keider",641,100,0.27,0.216,0.282,0.486,0.364,0.394,0.318,40,148,93.2,13.8,2164,94.7,94.92,53,295,346,0.20000000000000284,6.39,112,148,115,149,293,328,298,"-2.1","2.1","69.03022311","6.649342473"
638,656731,"Megill, Tylor",638,100,0.228,0.122,0.317,0.35,0.32,0.341,0.231,28,123,91.5,23.2,2218,95.7,97.53,90,308,330,1.7999999999999972,7.42,114,149,121,150,295,325,297,"1.9","-1.9","69.163708587","6.66918159"
635,500779,"Quintana, Jose",635,100,0.227,0.2,0.216,0.427,0.332,0.344,0.235,25,110,87.1,23.1,2074,90.7,90.94,48,290,345,0.20000000000000284,6.54,107,150,121,148,300,326,294,"-1.2","1.2","67.466924599","6.525181168"
633,518886,"Kimbrel, Craig",633,100,0.203,0.218,0.274,0.421,0.34,0.34,0.213,27,133,92.2,25.7,2316,93.9,94.61,86,298,335,0.6999999999999886,6.83,112,147,118,149,300,326,299,"-0.5","0.5","69.361146893","6.787587643"
631,669062,"Miller, Erik",631,100,0.184,0.126,0.246,0.311,0.289,0.286,0.185,19,103,92.7,15.1,2272,96.9,97.25,81,278,353,0.3999999999999915,6.55,110,149,120,148,294,320,295,"6.2","-6.2","67.62499875","6.619138945"
626,663978,"Paddack, Chris",626,100,0.277,0.123,0.371,0.4,0.314,0.295,0.245,43,155,92,17.3,2214,93.3,94.29,76,313,313,1,6.98,112,148,118,150,300,324,293,"5.3","-5.3","68.151321531","6.486838776"
623,489446,"Yates, Kirby",623,100,0.113,0.097,0.175,0.21,0.208,0.215,0.128,14,124,88,21.3,2357,93.2,92.41,111,315,308,-0.7999999999999972,6.03,115,150,117,150,298,324,298,"17.6","-17.6","69.575755236","6.711202736"
619,683232,"Mears, Nick",619,100,0.24,0.16,0.281,0.4,0.319,0.324,0.241,30,125,89.8,14.7,2318,96.7,97.88,64,320,299,1.2000000000000028,6.86,111,148,120,147,302,329,301,"0.8","-0.8","68.995949233","6.770740105"
619,806185,"Birdsong, Hayden",619,100,0.216,0.224,0.221,0.44,0.363,0.419,0.278,25,116,92.4,20.7,2291,95.8,96.11,47,264,355,0.29999999999999716,6.51,110,148,117,150,297,324,299,"2.8","-2.8","68.229033906","6.571764922"
618,608379,"Wacha, Michael",618,100,0.279,0.169,0.327,0.449,0.346,0.371,0.299,38,136,88.8,20.4,2129,93.6,94.46,52,307,311,0.9000000000000057,6.77,114,148,117,150,296,323,297,"1.2","-1.2","68.396325993","6.618458425"
614,674003,"Bradford, Cody",614,100,0.185,0.159,0.204,0.344,0.246,0.288,0.225,28,151,89.3,23.2,2100,89.8,91,66,310,304,1.2000000000000028,7.1,112,150,117,149,301,324,298,"10.6","-10.6","69.097063179","6.6330875"
614,684320,"Rodríguez, Yariel",614,100,0.255,0.184,0.278,0.439,0.356,0.332,0.239,25,98,88.7,20.4,2361,93.9,94.49,54,246,368,0.5999999999999943,6.58,111,149,112,149,290,321,297,"-5","5","70.106920741","6.809838107"
614,656464,"Ginkel, Kevin",614,100,0.269,0.142,0.32,0.41,0.322,0.314,0.245,36,134,91.9,17.5,2420,96,96.98,61,301,313,1,6.86,113,148,117,149,296,317,294,"3.9","-3.9","68.411708957","6.571998273"
603,650556,"Abreu, Bryan",603,100,0.262,0.238,0.309,0.5,0.367,0.35,0.247,32,122,92.6,22.1,2356,96.7,97.08,82,290,313,0.3999999999999915,6.63,107,149,113,148,295,323,297,"-1.2","1.2","70.144625792","6.929818919"
594,543243,"Gray, Sonny",594,100,0.333,0.233,0.33,0.567,0.41,0.409,0.327,40,120,88.3,10.4,2514,92.4,93.3,49,275,319,0.8999999999999915,6.61,116,147,109,149,301,320,302,"-5.9","5.9","69.432761111","6.871408621"
594,808967,"Yamamoto, Yoshinobu",594,100,0.262,0.151,0.303,0.413,0.326,0.365,0.286,33,126,89.9,14.1,2157,95.5,95.99,49,279,315,0.5,6.56,115,150,121,151,296,316,295,"5","-5","69.59001732","6.7243682"
586,592773,"Stanek, Ryne",586,100,0.236,0.171,0.276,0.407,0.327,0.316,0.209,29,123,90.5,26.4,2329,97.7,97.12,88,318,268,-0.6000000000000085,6.02,112,149,117,148,295,323,295,"-0.8","0.8","69.505847344","6.89456718"
584,605463,"Scott, Tayler",584,100,0.144,0.154,0.172,0.298,0.26,0.271,0.173,15,104,89,21.5,2128,92.7,91.41,72,254,330,-1.2999999999999972,5.81,109,149,114,149,293,321,295,"10.3","-10.3","68.805117167","6.817430258"
578,669358,"Baz, Shane",578,100,0.252,0.118,0.286,0.37,0.321,0.32,0.23,32,127,92.7,26.7,2419,95.6,95.78,64,290,288,0.20000000000000284,6.58,107,149,113,150,300,329,300,"4.3","-4.3","70.095799263","6.767721895"
574,682847,"Ortiz, Luis L.",574,100,0.187,0.144,0.233,0.331,0.266,0.308,0.209,26,139,90,20.8,2278,95.9,96.74,58,279,295,0.7999999999999972,6.77,113,148,111,149,308,326,297,"5.9","-5.9","69.974190772","6.828784301"
570,671212,"Boyle, Joe",570,100,0.27,0.12,0.329,0.39,0.378,0.384,0.261,27,100,90.7,17.6,2506,97.7,98.18,57,225,345,0.5,6.62,109,146,114,149,294,319,297,"-8.6","8.6","69.678243814","6.764348711"
570,640451,"Harvey, Hunter",570,100,0.254,0.149,0.346,0.404,0.328,0.348,0.272,29,114,90.8,13.3,2045,97.8,97.98,68,300,270,0.20000000000000284,6.37,111,148,117,147,304,326,300,"7.6","-7.6","69.100573566","6.692590956"
