"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length"
"FC","2024-09-27","87.7","-2.11","4.82","Kwan, Steven",680757,681293,,"called_strike",,,,,4,"Steven Kwan hit by pitch.","R","L","R","CLE","HOU","S",,,1,0,2024,"0.53","0.24","-0.33","2.47",,,,1,6,"Bot",,,,,673237,,,3.2704130117547003,-127.84588745643576,-0.1230357569651398,5.33770111368196,22.77060150194436,-29.70081255985091,"3.08","1.46",,,,"90.4",2677,"7.5",746580,681293,673237,605170,514888,608324,666197,643289,676694,663656,"52.96",,,,,,,,51,2,"Cutter",0,5,0,5,5,0,0,5,"Infield shade","Standard",135,"0","-0.032",,
"SL","2024-09-27","87.5","-1.5","6.03","Kwan, Steven",680757,669854,"walk","ball",,,,,11,"Steven Kwan walks.","R","L","R","CLE","HOU","B",,,3,1,2024,"0.44","0.51","-1.6","2.7",,,,0,1,"Bot",,,,,673237,,,-1.1643399741660443,-127.61297335800464,-3.0751743972467143,5.0938266315838545,22.652413135915364,-26.197172895251235,"3.18","1.5",,,,"88.7",2077,"6.6",746580,669854,673237,605170,514888,608324,666197,643289,676694,663656,"53.89",,0.689131,"0.7",1,0,0,,7,5,"Slider",0,1,0,1,1,0,0,1,"Infield shade","Standard",192,"0.038","0.257",,
"CU","2024-09-27","78.5","-1.97","4.97","Kwan, Steven",680757,681293,,"ball",,,,,14,"Steven Kwan hit by pitch.","R","L","R","CLE","HOU","B",,,0,0,2024,"1.54","-0.93","0.73","0.7",,,,1,6,"Bot",,,,,673237,,,3.0324498605075814,-114.31979341993447,-0.6265999106249092,12.777451763685617,23.050900186173557,-40.37011636425404,"3.09","1.47",,,,"79.4",2916,"7.1",746580,681293,673237,605170,514888,608324,666197,643289,676694,663656,"53.41",,,,,,,,51,1,"Curveball",0,5,0,5,5,0,0,5,"Infield shade","Standard",54,"0","0.025",,
"FF","2024-09-27","94.2","-1.26","6.02","Kwan, Steven",680757,669854,,"called_strike",,,,,6,"Steven Kwan walks.","R","L","R","CLE","HOU","S",,,3,0,2024,"-0.63","1.67","0.48","2.19",,,,0,1,"Bot",,,,,673237,,,5.968904001076203,-136.91064261747263,-8.024901920009933,-9.222347458891916,30.079964268113752,-9.629813839190147,"3.15","1.47",,,,"95",2406,"6.8",746580,669854,673237,605170,514888,608324,666197,643289,676694,663656,"53.67",,,,,,,,7,4,"4-Seam Fastball",0,1,0,1,1,0,0,1,"Infield shade","Standard",211,"0","-0.081",,
"SL","2024-09-27","86.7","-1.51","5.96","Kwan, Steven",680757,669854,,"ball",,,,,13,"Steven Kwan walks.","R","L","R","CLE","HOU","B",,,2,0,2024,"0.45","0.59","-0.2","1.1",,,,0,1,"Bot",,,,,673237,,,2.217252479742811,-126.21833386297604,-6.744132485258803,4.460839423045341,24.148535698983316,-24.705643692157345,"3.15","1.5",,,,"87.7",2089,"6.8",746580,669854,673237,605170,514888,608324,666197,643289,676694,663656,"53.74",,,,,,,,7,3,"Slider",0,1,0,1,1,0,0,1,"Infield shade","Standard",206,"0","0.132",,
"FF","2024-09-27","93.2","-1.34","6.11","Kwan, Steven",680757,669854,,"ball",,,,,11,"Steven Kwan walks.","R","L","R","CLE","HOU","B",,,1,0,2024,"-0.57","1.6","-1.48","4.2",,,,0,1,"Bot",,,,,673237,,,0.9216808903738809,-135.73133714514668,-2.6559614116326555,-7.280993446864879,30.485178221544025,-12.100806985721096,"3.16","1.51",,,,"93.8",2311,"6.7",746580,669854,673237,605170,514888,608324,666197,643289,676694,663656,"53.84",,,,,,,,7,2,"4-Seam Fastball",0,1,0,1,1,0,0,1,"Infield shade","Standard",209,"0","0.062",,
"FF","2024-09-27","92.3","-1.24","6.24","Kwan, Steven",680757,669854,,"ball",,,,,11,"Steven Kwan walks.","R","L","R","CLE","HOU","B",,,0,0,2024,"-0.55","1.65","-1.21","3.34",,,,0,1,"Bot",,,,,673237,,,1.2975189820953452,-134.36576958251263,-5.181086810651632,-6.897181880590117,29.559544027315155,-11.286610410321295,"3.13","1.47",,,,"92.9",2293,"6.7",746580,669854,673237,605170,514888,608324,666197,643289,676694,663656,"53.83",,,,,,,,7,1,"4-Seam Fastball",0,1,0,1,1,0,0,1,"Infield shade","Standard",208,"0","0.034",,
"CH","2024-09-25","88.8","-2.19","5.61","Kwan, Steven",680757,596001,"field_out","hit_into_play",,,,,8,"Steven Kwan grounds out, second baseman Santiago Espinal to first baseman Ty France.","R","L","R","CLE","CIN","X",4,"ground_ball",1,2,2024,"-1.29","0.24","-0.02","1.58",,,,2,3,"Bot",161.34,143.99,,,663886,,,7.9675424380996995,-129.037717575004,-4.299014689663745,-16.012291926690285,26.15682550257602,-28.778017952983962,"3.21","1.47",8,"91.8",-11,"88.6",1544,"6.2",746583,596001,663886,664034,669289,682622,682829,694362,670770,641584,"54.29",0.169,0.164,"0",1,0,0,2,19,4,"Changeup",1,0,1,0,0,1,1,0,"Standard","Standard",229,"-0.009","-0.069","66.40172","6.79963"
"FF","2024-09-25","92.4","-2.45","5.43","Kwan, Steven",680757,596001,,"ball",,,,,11,"Steven Kwan grounds out, second baseman Santiago Espinal to first baseman Ty France.","R","L","R","CLE","CIN","B",,,0,2,2024,"-0.6","1.22","-1.29","3.89",,,,2,3,"Bot",,,,,663886,,,4.248819607286572,-134.54284118541125,-0.7926852282637686,-8.228377933069039,28.439549971947027,-17.336819444971418,"3.17","1.51",,,,"92.5",2209,"6.3",746583,596001,663886,664034,669289,682622,682829,694362,670770,641584,"54.23",,,,,,,,19,3,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",219,"0","0.009",,
"FF","2024-09-25","92.8","-2.44","5.42","Kwan, Steven",680757,596001,,"called_strike",,,,,11,"Steven Kwan grounds out, second baseman Santiago Espinal to first baseman Ty France.","R","L","R","CLE","CIN","S",,,0,1,2024,"-0.63","1.17","-0.84","2.34",,,,2,3,"Bot",,,,,663886,,,5.497920270068385,-135.0187270368455,-4.70285170714284,-8.900363994553262,27.13804668937061,-16.996355283405475,"3.16","1.44",,,,"93.4",2370,"6.5",746583,596001,663886,664034,669289,682622,682829,694362,670770,641584,"54.03",,,,,,,,19,2,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Infield shade","Standard",229,"0","-0.022",,
"SI","2024-09-25","92.1","-2.37","5.44","Kwan, Steven",680757,596001,,"called_strike",,,,,5,"Steven Kwan grounds out, second baseman Santiago Espinal to first baseman Ty France.","R","L","R","CLE","CIN","S",,,0,0,2024,"-1.18","0.59","-0.27","2.65",,,666310,1,3,"Bot",,,,,663886,,,7.881354191858352,-133.9369330064854,-2.503605072866762,-15.878525220565658,30.062184321739014,-24.755839186987014,"3.34","1.42",,,,"92",2161,"6.3",746583,596001,663886,664034,669289,682622,682829,694362,670770,641584,"54.16",,,,,,,,19,1,"Sinker",1,0,1,0,0,1,1,0,"Infield shade","Standard",223,"-0.037","-0.047",,
"FF","2024-09-25","93.2","-1.84","5.6","Kwan, Steven",680757,641941,"single","hit_into_play",,,,,5,"Steven Kwan singles on a sharp line drive to right fielder Jake Fraley.","R","L","R","CLE","CIN","X",9,"line_drive",0,0,2024,"-0.19","1.51","-0.01","2.05",,,,2,8,"Bot",160.03,105.73,,,663886,,,5.15115232608876,-135.52570336294704,-6.704149431656581,-3.494438088556022,29.517356898745696,-12.29356277064354,"3.21","1.47",175,"100.6",10,"93.9",2563,"6.7",746583,641941,663886,664034,663697,669289,682829,666181,670770,641584,"53.8",0.8,0.733,"0.9",1,1,0,4,55,1,"4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard",204,"0.025","0.128","66.24292","6.4149"
"SL","2024-09-25","86.4","-2.49","5.4","Kwan, Steven",680757,663574,"strikeout","called_strike",,,,,4,"Steven Kwan called out on strikes.","R","L","R","CLE","CIN","S",2,,2,2,2024,"0.89","0.13","-0.64","2.48",,,,0,6,"Bot",,,,,663886,,,2.583960919983312,-125.90380363754534,-1.06543323881346,9.01384680007995,23.520940390491713,-30.78837913461419,"3.13","1.42",,,,"86.5",2276,"6.1",746583,663574,663886,664034,669289,682622,682829,694362,670770,641584,"54.39",,0,"0",1,0,0,,37,7,"Slider",2,0,2,0,0,2,2,0,"Infield shade","Standard",43,"-0.012","-0.203",,
"SL","2024-09-25","86.5","-2.41","5.47","Kwan, Steven",680757,663574,,"ball",,,,,14,"Steven Kwan called out on strikes.","R","L","R","CLE","CIN","B",,,1,2,2024,"0.83","0.11","1.47","1.7",,,,0,6,"Bot",,,,,663886,,,7.525378568903276,-125.82379378710826,-3.0409705991625433,7.456910837250332,23.50343581101851,-30.617014200815383,"3.07","1.44",,,,"86.3",2370,"6",746583,663574,663886,664034,669289,682622,682829,694362,670770,641584,"54.49",,,,,,,,37,6,"Slider",2,0,2,0,0,2,2,0,"Infield shade","Standard",40,"0","0.036",,
"FF","2024-09-25","97.9","-2.54","5.25","Kwan, Steven",680757,663574,,"foul",,,,,11,"Steven Kwan called out on strikes.","R","L","R","CLE","CIN","S",,,1,2,2024,"-0.9","0.97","-0.38","3.39",,,,0,6,"Bot",,,,,663886,,,7.89244899798199,-142.43242002979517,-1.826937197931963,-14.034172910482635,29.666596501191812,-18.65594116857949,"3.21","1.47",271,"81.1",30,"98",2519,"6.2",746583,663574,663886,664034,669289,682622,682829,694362,670770,641584,"54.33",,,,,,,,37,5,"4-Seam Fastball",2,0,2,0,0,2,2,0,"Infield shade","Standard",227,"0","0","48.48577","4.56198"
"SL","2024-09-25","87.1","-2.51","5.39","Kwan, Steven",680757,663574,,"foul",,,,,14,"Steven Kwan called out on strikes.","R","L","R","CLE","CIN","S",,,1,2,2024,"1.29","-0.34","0.78","1.19",,,,0,6,"Bot",,,,,663886,,,5.272696044008505,-126.78778779827698,-3.2015104822287217,12.820581301034968,25.99216253843762,-35.410504372380025,"3.21","1.47",2,"75.6",-28,"87.1",2382,"6.3",746583,663574,663886,664034,669289,682622,682829,694362,670770,641584,"54.22",,,,,,,,37,4,"Slider",2,0,2,0,0,2,2,0,"Infield shade","Standard",42,"0","0","63.07786","6.73356"
"FF","2024-09-25","95.7","-2.45","5.46","Kwan, Steven",680757,663574,,"foul",,,,,6,"Steven Kwan called out on strikes.","R","L","R","CLE","CIN","S",,,1,1,2024,"-0.95","1.11","0.64","2.2",,,,0,6,"Bot",,,,,663886,,,10.25352665983996,-138.96375877499239,-5.459734961811444,-14.587382039806386,31.98290582759301,-16.652287495988258,"3.21","1.47",166,"61.9",31,"95.4",2393,"6.3",746583,663574,663886,664034,669289,682622,682829,694362,670770,641584,"54.22",,,,,,,,37,3,"4-Seam Fastball",2,0,2,0,0,2,2,0,"Infield shade","Standard",226,"0","-0.051","59.50495","5.49247"
"SL","2024-09-25","82.4","-2.67","5.77","Kwan, Steven",680757,596001,"home_run","hit_into_play",,,,,6,"Steven Kwan homers (14) on a fly ball to right field.","R","L","R","CLE","CIN","X",,"fly_ball",0,1,2024,"0.9","0.03","0.29","2.25",,,,0,1,"Bot",203.57,72.64,,,663886,,,4.951329284195744,-119.94322468015268,-1.463795844374145,7.559271034779151,25.791971823858965,-31.787114182642306,"3.21","1.47",366,"101.1",25,"81.5",2605,"5.9",746583,596001,663886,664034,669289,682622,682829,694362,670770,641584,"54.57",0.614,1.021,"2",1,0,3,6,4,2,"Slider",0,0,0,0,0,1,1,0,"Standard","Standard",62,"0.102","1.033","67.13632","6.9697"
"FF","2024-09-25","96.2","-2.32","5.47","Kwan, Steven",680757,663574,,"ball",,,,,11,"Steven Kwan called out on strikes.","R","L","R","CLE","CIN","B",,,0,1,2024,"-0.89","1.13","-1","4.02",,,,0,6,"Bot",,,,,663886,,,5.528603406672218,-139.96667829648214,-0.8162951017658149,-13.005670540358201,31.69842194112208,-17.3255380849702,"3.36","1.53",,,,"96",2450,"6.2",746583,663574,663886,664034,669289,682622,682829,694362,670770,641584,"54.3",,,,,,,,37,2,"4-Seam Fastball",2,0,2,0,0,2,2,0,"Standard","Standard",226,"0","0.023",,
"SI","2024-09-25","89.7","-2.49","5.56","Kwan, Steven",680757,596001,,"called_strike",,,,,4,"Steven Kwan homers (14) on a fly ball to right field.","R","L","R","CLE","CIN","S",,,0,0,2024,"-1.41","0.46","-0.37","2.37",,,,0,1,"Bot",,,,,663886,,,8.192641707134372,-130.27286936556507,-2.8249107571045706,-17.781074187597437,28.952440502185468,-26.501235386201596,"3.17","1.41",,,,"89.1",2155,"6.2",746583,596001,663886,664034,669289,682622,682829,694362,670770,641584,"54.32",,,,,,,,4,1,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",224,"0","-0.033",,
"FF","2024-09-25","95.5","-2.46","5.48","Kwan, Steven",680757,663574,,"called_strike",,,,,2,"Steven Kwan called out on strikes.","R","L","R","CLE","CIN","S",,,0,0,2024,"-0.87","1.23","0.01","3.09",,,,0,6,"Bot",,,,,663886,,,8.444771865678549,-138.83489862997763,-3.4096079172481084,-13.213860350453917,31.40744875705734,-15.737660208712857,"3.21","1.4",,,,"95.2",2490,"6.2",746583,663574,663886,664034,669289,682622,682829,694362,670770,641584,"54.28",,,,,,,,37,1,"4-Seam Fastball",2,0,2,0,0,2,2,0,"Standard","Standard",222,"0","-0.033",,
"FF","2024-09-12","91.1","-2.02","5.83","Kwan, Steven",680757,642121,"walk","ball",,,,,11,"Steven Kwan walks.","R","L","R","CLE","TB","B",,,3,2,2024,"-1.04","1.3","-0.87","2.74",,,,0,5,"Bot",,,,,666163,,,5.156518772774684,-132.52384351688465,-4.700251545711658,-13.416394048164916,28.066541094557763,-16.058856890701417,"3.24","1.44",,,,"91.8",2386,"6.7",746591,642121,666163,650490,666018,691406,676609,666624,676356,666139,"53.81",,0.689131,"0.7",1,0,0,,40,6,"4-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Standard",211,"0.055","0.333",,
"FF","2024-09-12","90.1","-1.95","5.8","Kwan, Steven",680757,642121,,"foul",,,,,2,"Steven Kwan walks.","R","L","R","CLE","TB","S",,,3,1,2024,"-0.92","1.58","0.07","2.89",,,,0,5,"Bot",,,,,666163,,,7.016223359652805,-131.03322933902533,-4.63330253381875,-12.068892520950959,28.02520585136979,-13.171864573929367,"3.21","1.47",177,"79.7",64,"90.7",2439,"6.7",746591,642121,666163,650490,666018,691406,676609,666624,676356,666139,"53.78",,,,,,,,40,5,"4-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Standard",214,"0","-0.076","58.99133","6.00373"
"FF","2024-09-12","92.9","-0.84","6.03","Kwan, Steven",680757,686752,"walk","ball",,,,,13,"Steven Kwan walks.   Brayan Rocchio to 2nd.","R","L","R","CLE","TB","B",,,3,1,2024,"-0.82","1.58","-0.25","0.92",,,677587,2,2,"Bot",,,,,666163,,,3.3287749972400267,-134.8682623424961,-10.790457171742197,-10.769138334711503,29.60715509077252,-10.777905640652808,"3.04","1.4",,,,"93.3",2408,"6.7",746591,686752,666163,650490,666018,691406,676609,666624,676356,666139,"53.83",,0.689131,"0.7",1,0,0,,19,5,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard",212,"0.021","0.128",,
"CH","2024-09-12","82.4","-2","5.77","Kwan, Steven",680757,642121,,"ball",,,,,14,"Steven Kwan walks.","R","L","R","CLE","TB","B",,,2,1,2024,"-1.14","0.5","0.32","0.94",,,,0,5,"Bot",,,,,666163,,,7.524873204285449,-119.7469805049719,-5.490632662283777,-12.390047538381058,20.986301587075268,-26.510727028731825,"3.12","1.46",,,,"83.1",1700,"6.6",746591,642121,666163,650490,666018,691406,676609,666624,676356,666139,"53.88",,,,,,,,40,4,"Changeup",2,3,2,3,3,2,2,3,"Standard","Standard",233,"0","0.11",,
"FC","2024-09-12","86.8","-2.1","5.69","Kwan, Steven",680757,642121,,"ball",,,,,13,"Steven Kwan walks.","R","L","R","CLE","TB","B",,,1,1,2024,"0.23","0.63","-0.24","1.11",,,,0,5,"Bot",,,,,666163,,,3.9982514045704316,-126.3187832769948,-6.15938432126293,1.750900204796319,23.32735993710637,-24.407169624448787,"3.26","1.44",,,,"87.7",2399,"6.6",746591,642121,666163,650490,666018,691406,676609,666624,676356,666139,"53.89",,,,,,,,40,3,"Cutter",2,3,2,3,3,2,2,3,"Standard","Standard",191,"0","0.048",,
"FC","2024-09-12","90","-1.02","6.05","Kwan, Steven",680757,686752,,"ball",,,,,11,"Steven Kwan walks.   Brayan Rocchio to 2nd.","R","L","R","CLE","TB","B",,,2,1,2024,"0.28","1.12","-1.43","3.14",,,677587,2,2,"Bot",,,,,666163,,,-1.632129320101975,-131.18867171859426,-3.7336443359796787,3.5593480527301176,24.92095289352083,-18.5870973328838,"3.13","1.42",,,,"90.7",2452,"6.4",746591,686752,666163,650490,666018,691406,676609,666624,676356,666139,"54.11",,,,,,,,19,4,"Cutter",1,1,1,1,1,1,1,1,"Standard","Standard",185,"0","0.066",,
"FF","2024-09-12","94","-0.82","5.97","Kwan, Steven",680757,686752,,"foul",,,,,5,"Steven Kwan walks.   Brayan Rocchio to 2nd.","R","L","R","CLE","TB","S",,,2,0,2024,"-0.73","1.57","0.12","2.59",,,677587,2,2,"Bot",,,,,666163,,,4.070825208523469,-136.6410716927898,-6.4953103547500115,-10.040058259439208,31.81459036969462,-11.310265763320261,"3.21","1.47",241,"79.2",46,"94.2",2345,"6.6",746591,686752,666163,650490,666018,691406,676609,666624,676356,666139,"53.9",,,,,,,,19,3,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard",212,"0","-0.04","57.79119","5.68837"
"FC","2024-09-12","85","-2.16","5.73","Kwan, Steven",680757,642121,,"ball",,,,,12,"Steven Kwan walks.","R","L","R","CLE","TB","B",,,0,1,2024,"0.03","0.45","1","2.81",,,,0,5,"Bot",,,,,666163,,,7.384210234589897,-123.67436797858844,-1.439640986115884,-1.0414293503429994,23.128008581907253,-27.49022570547176,"3.2","1.43",,,,"85.7",2458,"6.6",746591,642121,666163,650490,666018,691406,676609,666624,676356,666139,"53.88",,,,,,,,40,2,"Cutter",2,3,2,3,3,2,2,3,"Standard","Standard",179,"0","0.023",,
"FF","2024-09-12","92.9","-0.89","6.14","Kwan, Steven",680757,686752,,"ball",,,,,12,"Steven Kwan walks.   Brayan Rocchio to 2nd.","R","L","R","CLE","TB","B",,,1,0,2024,"-0.86","1.45","0.64","3.56",,,677587,2,2,"Bot",,,,,666163,,,5.844871724617195,-135.06761759981507,-3.9591856066621727,-11.886295485873251,31.828840283269088,-13.76752444045579,"3.11","1.39",,,,"93",2305,"6.6",746591,686752,666163,650490,666018,691406,676609,666624,676356,666139,"53.9",,,,,,,,19,2,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard",206,"0","0.042",,
