"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length"
"FF","2024-09-27","94.8","-1.93","5.13","Kwan, Steven",680757,681293,"walk","ball",,,,,11,"Steven Kwan walks.   Will Brennan to 3rd.    Daniel Schneemann to 2nd.","R","L","R","CLE","HOU","B",,,3,2,2024,"-0.47","1.31","-0.71","3.53",,686823,682177,1,8,"Bot",,,,,673237,,,4.33079241242442,-138.05802637035066,-1.4652349636949817,-7.036903629909897,31.425208012359292,-15.330712762493317,"3.2","1.52",,,,"96.3",2292,"7.1",746580,681293,673237,605170,514888,608324,666197,643289,676694,663656,"53.37",,0.689131,"0.7",1,0,0,,69,6,"4-Seam Fastball",0,5,0,5,5,0,0,5,"Infield shade","Standard",219,"0.035","0.517",,
"FF","2024-09-27","95.2","-1.83","5.05","Kwan, Steven",680757,681293,,"foul",,,,,4,"Steven Kwan walks.   Will Brennan to 3rd.    Daniel Schneemann to 2nd.","R","L","R","CLE","HOU","S",,,3,1,2024,"-0.84","1.31","-0.44","2.55",,686823,682177,1,8,"Bot",,,,,673237,,,5.616913236646624,-138.68979437518146,-3.9972271250911033,-12.003350192053086,27.755120190923265,-14.558878072865577,"3.2","1.47",274,"83.1",34,"97.3",2397,"7.2",746580,681293,673237,605170,514888,608324,666197,643289,676694,663656,"53.31",,,,,,,,69,5,"4-Seam Fastball",0,5,0,5,5,0,0,5,"Infield shade","Standard",216,"0","-0.125","61.35956","5.83776"
"SL","2024-09-27","87.4","-1.02","5.93","Kwan, Steven",680757,669854,"field_out","hit_into_play",,,,,6,"Steven Kwan grounds out, first baseman Victor Caratini to pitcher Ronel Blanco.","R","L","R","CLE","HOU","X",3,"ground_ball",1,1,2024,"0.31","0.64","0.44","2.38",,,,2,3,"Bot",158.68,160.81,,,673237,,,2.9206891010983007,-127.36775210310299,-3.8417020436734584,2.8414820553982305,23.568200180263233,-24.589694192606135,"3.2","1.47",8,"82.4",-17,"88.6",2129,"6.7",746580,669854,673237,605170,514888,608324,666197,643289,676694,663656,"53.76",0.077,0.073,"0",1,0,0,2,25,3,"Slider",0,1,0,1,1,0,0,1,"Infield shade","Standard",197,"-0.013","-0.094","65.72236","6.06781"
"FF","2024-09-27","95.3","-1.8","5.04","Kwan, Steven",680757,681293,,"called_strike",,,,,4,"Steven Kwan walks.   Will Brennan to 3rd.    Daniel Schneemann to 2nd.","R","L","R","CLE","HOU","S",,,3,0,2024,"-1.01","1.17","-0.41","2.21",,686823,682177,1,8,"Bot",,,,,673237,,,6.038701469606693,-138.69588488157873,-4.538830982634917,-14.413894533412252,28.948518456405512,-16.26515621611333,"3.24","1.51",,,,"97.1",2402,"7.1",746580,681293,673237,605170,514888,608324,666197,643289,676694,663656,"53.37",,,,,,,,69,4,"4-Seam Fastball",0,5,0,5,5,0,0,5,"Infield shade","Standard",222,"0","-0.145",,
"CU","2024-09-27","81","-1.11","6.09","Kwan, Steven",680757,669854,,"called_strike",,,,,8,"Steven Kwan grounds out, first baseman Victor Caratini to pitcher Ronel Blanco.","R","L","R","CLE","HOU","S",,,1,0,2024,"0.8","-0.06","0.04","1.65",,,,2,3,"Bot",,,,,673237,,,1.067056464479017,-118.04774453888173,-3.2114277827013726,7.289434559874326,21.7285512565903,-32.398699746970124,"3.13","1.52",,,,"82",2281,"6.8",746580,669854,673237,605170,514888,608324,666197,643289,676694,663656,"53.71",,,,,,,,25,2,"Curveball",0,1,0,1,1,0,0,1,"Infield shade","Standard",36,"0","-0.02",,
"FC","2024-09-27","88.7","-2.11","4.93","Kwan, Steven",680757,681293,,"ball",,,,,11,"Steven Kwan walks.   Will Brennan to 3rd.    Daniel Schneemann to 2nd.","R","L","R","CLE","HOU","B",,,2,0,2024,"0.49","0.47","-1.03","3.28",,686823,682177,1,8,"Bot",,,,,673237,,,1.6417925299967036,-129.3808312972998,0.941313040357991,5.270556456657974,23.348138709978006,-27.14777454519399,"3.17","1.49",,,,"90.1",2544,"6.7",746580,681293,673237,605170,514888,608324,666197,643289,676694,663656,"53.79",,,,,,,,69,3,"Cutter",0,5,0,5,5,0,0,5,"Infield shade","Standard",164,"0","0.217",,
"FF","2024-09-27","94","-0.98","6.16","Kwan, Steven",680757,669854,,"ball",,,,,11,"Steven Kwan grounds out, first baseman Victor Caratini to pitcher Ronel Blanco.","R","L","R","CLE","HOU","B",,,0,0,2024,"-0.48","1.4","-0.67","4.69",,,,2,3,"Bot",,,,,673237,,,1.8816960275760417,-136.97261647516578,-1.2061554660762652,-6.413547994689256,30.616977830447194,-14.559679408016265,"3.17","1.53",,,,"94.9",2224,"6.8",746580,669854,673237,605170,514888,608324,666197,643289,676694,663656,"53.73",,,,,,,,25,1,"4-Seam Fastball",0,1,0,1,1,0,0,1,"Infield shade","Standard",201,"0","0.015",,
"FC","2024-09-27","87.4","-2.14","4.85","Kwan, Steven",680757,681293,,"ball",,,,,11,"Steven Kwan walks.   Will Brennan to 3rd.    Daniel Schneemann to 2nd.","R","L","R","CLE","HOU","B",,,1,0,2024,"0.46","0.47","-2.21","3.02",,686823,682177,1,8,"Bot",,,,,673237,,,-1.1363523048679776,-127.39925370276187,0.7393820625010356,5.23110540770378,25.49069590158294,-27.412707922870908,"3.16","1.47",,,,"88.6",2609,"6.9",746580,681293,673237,605170,514888,608324,666197,643289,676694,663656,"53.59",,,,,,,,69,2,"Cutter",0,5,0,5,5,0,0,5,"Infield shade","Standard",149,"0","0.107",,
"FF","2024-09-27","94.6","-1.77","5.11","Kwan, Steven",680757,681293,,"ball",,,,,11,"Steven Kwan walks.   Will Brennan to 3rd.    Daniel Schneemann to 2nd.","R","L","R","CLE","HOU","B",,,0,0,2024,"-0.55","0.98","-0.06","3.79",,686823,682177,1,8,"Bot",,,,,673237,,,5.787566710225295,-137.77194011080488,0.01703987993092171,-8.249897778569416,29.121463455981498,-19.801939342155983,"3.17","1.48",,,,"96.6",2274,"7.3",746580,681293,673237,605170,514888,608324,666197,643289,676694,663656,"53.25",,,,,,,,69,1,"4-Seam Fastball",0,5,0,5,5,0,0,5,"Infield shade","Standard",218,"0","0.058",,
"CU","2024-09-27","79.3","-1.97","4.95","Kwan, Steven",680757,681293,"hit_by_pitch","hit_by_pitch",,,,,14,"Steven Kwan hit by pitch.","R","L","R","CLE","HOU","B",,,1,1,2024,"1.33","-0.67","1.47","0.57",,,,1,6,"Bot",,,,,673237,,,5.124877321080381,-115.44658519588249,-1.579835495986753,10.976385327093414,20.995495546230867,-38.10246841535194,"3.2","1.47",,,,"80.8",2985,"7.2",746580,681293,673237,605170,514888,608324,666197,643289,676694,663656,"53.27",,0.720192,"0.7",1,0,0,,51,3,"Curveball",0,5,0,5,5,0,0,5,"Infield shade","Standard",56,"0.013","0.276",,
